Team,League,Perfect Seasons Needed
Arizona Cardinals,NFL,12
Los Angeles Clippers,NBA,8.5
Tampa Bay Buccaneers,NFL,8.2
Detroit Lions,NFL,6.3
Philadelphia Phillies,MLB,6
Brooklyn Nets,NBA,5.8
New York Jets,NFL,5.7
Minnesota Timberwolves,NBA,5.6
Atlanta Falcons,NFL,5.5
Sacramento Kings,NBA,5.4
Baltimore Orioles,MLB,5.2
Washington Wizards,NBA,5
Cincinnati Bengals,NFL,4.7
Jacksonville Jaguars,NFL,4.4
Minnesota Twins,MLB,4.2
Cleveland Cavaliers,NBA,3.9
San Diego Padres,MLB,3.85
Charlotte Hornets,NBA,3.8
Memphis Grizzlies,NBA,3.75
New Orleans Saints,NFL,3.6
Detroit Pistons,NBA,3.55
Texas Rangers,MLB,3.5
Houston Texans,NFL,3.5
Dallas Wings,WNBA,3.1
Oakland Athletics,MLB,3
Washington Mystics,WNBA,2.9
Kansas City Royals,MLB,2.4
Miami Marlins,MLB,2.4
New York Knicks,NBA,2.4
Seattle Mariners,MLB,2.4
Orlando Magic,NBA,2.3
Golden State Warriors,NFL,2.2
Buffalo Bills,MLB,2.2
New York Mets,WNBA,2.1
Indiana Fever,NHL,2
Arizona Coyotes,NHL,2
Winnipeg Jets,WNBA,1.95
Las Vegas Aces,MLB,1.9
Colorado Rockies,MLB,1.9
Milwaukee Brewers,MLS,1.8
Toronto FC,MLB,1.8
Washington Nationals,WNBA,1.8
Atlanta Dream,NFL,1.8
Carolina Panthers,NBA,1.7
New Orleans Pelicans,MLS,1.6
Colorado Rapids,MLS,1.4
FC Cincinnati,NHL,1.3
Vancouver Canucks,NFL,1.1
Philadelphia Eagles,NBA,1.1
Toronto Raptors,MLS,1.1
San Jose Earthquakes,WNBA,1
Chicago Sky,NFL,0.9
Tennessee Titans,NBA,0.8
Atlanta Hawks,NBA,0.8
New Jersey Devils,NHL,0.8
Tampa Bay Rays,MLB,0.7
Arizona Diamondbacks,MLB,0.7
Los Angeles Kings,NHL,0.6
Houston Dynamo FC,MLS,0.57
Vancouver Whitecaps FC,MLS,0.57
New England Revolution,MLS,0.52
CF Montréal,MLS,0.52
Orlando City SC,MLS,0.48
New York Liberty,WNBA,0.45
Carolina Hurricanes,NHL,0.35
D.C. United,MLS,0.34
Inter Miami CF,MLS,0.34
Columbus Blue Jackets,NHL,0.34
Los Angeles Angels,MLB,0.32
Minnesota United FC,MLS,0.28
Toronto Blue Jays,MLB,0.25
Washington Commanders,NFL,0.25
Chicago Fire FC,MLS,0.25
Austin FC,MLS,0.25
Seattle Kraken,NHL,0.25
Charlotte FC,MLS,0.2
Los Angeles Chargers,NFL,0.15
Real Salt Lake,MLS,0.1
